SBD,Nam,Tinh,SBD_New,Toan,NguVan,VatLy,HoaHoc,SinhHoc,LichSu,DiaLy,GDCD,NgoaiNgu,MaMonNgoaiNgu,TongDiem,KhoiA,KhoiA1,KhoiB,KhoiC,KhoiD,KHTN,KHXH,KhoiA02,KhoiC01,KhoiD07,TongDiemKHTN,TongDiemKHXH
46002890,25,46,2890,,6.0,,,,8.75,8.25,,,,23.0,,,,23.0,,,,,,,,
46002891,25,46,2891,,5.25,,,,7.0,7.75,,,,20.0,,,,20.0,,,,,,,,
46002892,25,46,2892,,5.0,,,,6.0,5.75,,,,16.75,,,,16.75,,,,,,,,
46002893,25,46,2893,2.6,2.75,,,,3.25,4.5,,,,13.1,,,,10.5,,,,,,,,
46002894,25,46,2894,,4.5,,,,2.75,5.0,,,,12.25,,,,12.25,,,,,,,,
46002895,25,46,2895,,1.5,,,,2.75,1.25,,,,5.5,,,,5.5,,,,,,,,
46002896,25,46,2896,,5.5,,,,7.5,7.25,,,,20.25,,,,20.25,,,,,,,,
46002897,25,46,2897,,4.0,,,,6.75,8.25,,,,19.0,,,,19.0,,,,,,,,
46002898,25,46,2898,,8.0,,,,7.75,6.5,,,,22.25,,,,22.25,,,,,,,,
46002899,25,46,2899,,3.5,,,,3.5,3.75,,,,10.75,,,,10.75,,,,,,,,
46002900,25,46,2900,,8.0,,,,,,,,,8.0,,,,,,,,,,,,
46002901,25,46,2901,,6.25,,,,7.5,8.0,,,,21.75,,,,21.75,,,,,,,,
46002902,25,46,2902,7.0,6.75,,,,,,,4.4,N1,18.15,,,,,18.15,,,,,,,
47013390,25,47,13390,6.0,6.0,,,,,,,5.8,N1,17.8,,,,,17.8,,,,,,,
47013391,25,47,13391,3.8,,3.5,4.0,,,,,2.2,N1,13.5,11.3,9.5,,,,,,,,10.0,,
47013393,25,47,13393,7.2,,,,,,7.0,7.5,,,21.7,,,,,,,,,,,,
47013394,25,47,13394,5.8,4.5,,,,6.25,,,,,16.55,,,,,,,,,,,,
47013395,25,47,13395,,6.25,,,,7.5,8.0,,,,21.75,,,,21.75,,,,,,,,
47013396,25,47,13396,2.0,4.5,,,,,,,4.0,N1,10.5,,,,,10.5,,,,,,,
47013397,25,47,13397,,6.5,,,,9.75,9.0,,,,25.25,,,,25.25,,,,,,,,
47013398,25,47,13398,,4.5,,,,5.0,5.75,,,,15.25,,,,15.25,,,,,,,,
47013399,25,47,13399,8.0,,7.75,9.25,,,,,,,25.0,25.0,,,,,,,,,,,
47013400,25,47,13400,8.0,8.5,,,,,,,,,16.5,,,,,,,,,,,,
47013401,25,47,13401,2.0,4.0,,,,4.5,4.75,6.75,2.2,N1,24.2,,,,13.25,8.2,,5.33,,,,,24.2
47013403,25,47,13403,3.2,4.0,,,,4.25,6.0,5.75,2.4,N1,25.6,,,,14.25,9.6,,5.33,,,,,25.6
47013404,25,47,13404,,4.75,,,,5.0,7.0,,,,16.75,,,,16.75,,,,,,,,
47013407,25,47,13407,7.6,8.0,,,,,,,7.4,N1,23.0,,,,,23.0,,,,,,,
47013408,25,47,13408,,5.25,,,,5.25,7.25,,,,17.75,,,,17.75,,,,,,,,
47013409,25,47,13409,,4.25,,,,4.25,6.25,,,,14.75,,,,14.75,,,,,,,,
47013410,25,47,13410,6.4,5.5,,,,7.0,7.75,,,,26.65,,,,20.25,,,,,,,,
47013411,25,47,13411,,2.0,,,,5.0,7.5,,,,14.5,,,,14.5,,,,,,,,
47013412,25,47,13412,,8.0,,,,8.0,9.0,,,,25.0,,,,25.0,,,,,,,,
47013413,25,47,13413,,2.5,,,,4.25,5.75,,,,12.5,,,,12.5,,,,,,,,
47013414,25,47,13414,,5.0,,,,6.25,7.75,,,,19.0,,,,19.0,,,,,,,,
47013415,25,47,13415,7.4,,5.75,,,,,,7.2,N1,20.35,,20.35,,,,,,,,,,
47013416,25,47,13416,7.6,,7.0,8.0,,,,,,,22.6,22.6,,,,,,,,,,,
47013417,25,47,13417,,5.0,,,,6.75,8.0,,,,19.75,,,,19.75,,,,,,,,
47013418,25,47,13418,,5.0,,,,3.5,5.5,,,,14.0,,,,14.0,,,,,,,,
47013419,25,47,13419,6.8,6.75,,,,9.5,9.75,,,,32.8,,,,26.0,,,,,,,,
47013420,25,47,13420,8.8,,7.75,8.25,,,,,,,24.8,24.8,,,,,,,,,,,
47013421,25,47,13421,5.6,6.0,,,,6.0,7.25,,,,24.85,,,,19.25,,,,,,,,
47013422,25,47,13422,8.4,,8.25,8.25,,,,,,,24.9,24.9,,,,,,,,,,,
47013423,25,47,13423,,6.25,,,,9.25,8.5,,,,24.0,,,,24.0,,,,,,,,
47013424,25,47,13424,7.4,6.5,,,,7.75,7.0,,5.2,N1,33.85,,,,21.25,19.1,,,,,,,
47013425,25,47,13425,,4.25,,,,8.0,5.75,,,,18.0,,,,18.0,,,,,,,,
47013426,25,47,13426,8.2,7.5,,,,,,,,,15.7,,,,,,,,,,,,
47013427,25,47,13427,7.6,6.5,,,,7.5,,9.0,,,30.6,,,,,,,,,,,,
47013428,25,47,13428,,5.0,,,,3.0,5.25,,,,13.25,,,,13.25,,,,,,,,
47013429,25,47,13429,5.4,,,6.5,7.25,,,,,,19.15,,,19.15,,,,,,,,,
47013430,25,47,13430,,4.0,,,,4.5,7.25,,,,15.75,,,,15.75,,,,,,,,
47013431,25,47,13431,7.8,,,6.5,7.5,,,,,,21.8,,,21.8,,,,,,,,,
47013432,25,47,13432,7.8,,6.75,8.0,,,,,,,22.55,22.55,,,,,,,,,,,
47013433,25,47,13433,7.2,6.75,,,,8.5,7.5,9.0,,,38.95,,,,22.75,,,8.33,,,,,
47013434,25,47,13434,7.6,8.75,6.25,,,,,,6.0,N1,28.6,,19.85,,,22.35,,,,22.6,,,
47013436,25,47,13436,,3.5,,,,6.25,6.75,,,,16.5,,,,16.5,,,,,,,,
47013437,25,47,13437,,3.5,,,,8.0,5.0,,,,16.5,,,,16.5,,,,,,,,
47013438,25,47,13438,7.8,,,7.75,7.0,,,,,,22.55,,,22.55,,,,,,,,,
47013439,25,47,13439,,4.0,,,,7.25,8.0,,,,19.25,,,,19.25,,,,,,,,
47013440,25,47,13440,4.4,4.25,4.5,4.25,3.5,,,,3.6,N1,24.5,13.15,12.5,12.15,,12.25,4.08,,12.4,13.15,12.25,24.5,
47013441,25,47,13441,4.4,4.5,,,,6.25,7.25,,,,22.4,,,,18.0,,,,,,,,
47013442,25,47,13442,,5.25,,,,6.25,6.75,,,,18.25,,,,18.25,,,,,,,,
47013443,25,47,13443,,2.75,,,,3.25,3.25,,,,9.25,,,,9.25,,,,,,,,
47013444,25,47,13444,,5.25,,,,3.25,5.0,,,,13.5,,,,13.5,,,,,,,,
47013445,25,47,13445,,5.75,,,,9.25,7.75,1.0,,,23.75,,,,22.75,,,6.0,,,,,
47013446,25,47,13446,7.8,,,6.75,,,,,6.4,N1,20.95,,,,,,,,,,20.95,,
47013447,25,47,13447,1.6,3.0,,,,3.75,4.0,5.0,3.0,N1,20.35,,,,10.75,7.6,,4.25,,,,,20.35
47013448,25,47,13448,5.8,,6.5,,,,,,8.0,N1,20.3,,20.3,,,,,,,,,,
47013449,25,47,13449,,3.25,,,,5.75,7.75,,,,16.75,,,,16.75,,,,,,,,
47013450,25,47,13450,7.4,6.75,,,,,,,7.8,N1,21.95,,,,,21.95,,,,,,,
47013451,25,47,13451,,5.75,,,,5.5,7.0,,,,18.25,,,,18.25,,,,,,,,
47013452,25,47,13452,7.6,,6.25,5.25,3.25,,,,4.2,N1,26.55,19.1,18.05,16.1,,,4.92,,17.1,,17.05,,
47013454,25,47,13454,,3.5,,,,5.75,6.0,,,,15.25,,,,15.25,,,,,,,,
47013458,25,47,13458,7.8,6.0,,,,,,,5.2,N1,19.0,,,,,19.0,,,,,,,
47013459,25,47,13459,,5.0,,,,3.75,6.0,,,,14.75,,,,14.75,,,,,,,,
47013460,25,47,13460,,3.0,,,,6.5,7.0,,,,16.5,,,,16.5,,,,,,,,
47013461,25,47,13461,,6.5,,,,8.5,9.5,,,,24.5,,,,24.5,,,,,,,,
47013462,25,47,13462,7.6,,7.75,7.5,,,,,,,22.85,22.85,,,,,,,,,,,
47013464,25,47,13464,,4.25,,,,5.75,6.25,,,,16.25,,,,16.25,,,,,,,,
47013465,25,47,13465,5.0,6.5,,,,,,,3.8,N1,15.3,,,,,15.3,,,,,,,
47013466,25,47,13466,5.8,,5.5,,,,,,5.2,N1,16.5,,16.5,,,,,,,,,,
47013468,25,47,13468,7.6,,6.5,6.25,2.75,,,,,,23.1,20.35,,16.6,,,5.17,,16.85,,,,
47013469,25,47,13469,6.2,,,6.0,7.25,,,,,,19.45,,,19.45,,,,,,,,,
47013472,25,47,13472,7.8,,,,,,,,8.2,N1,16.0,,,,,,,,,,,,
47013473,25,47,13473,2.0,,,,,4.0,,,2.6,N1,8.6,,,,,,,,,,,,
47013474,25,47,13474,5.6,5.5,,,,6.25,,,,,17.35,,,,,,,,,,,,
47013475,25,47,13475,7.2,6.5,,,,7.25,8.25,,,,29.2,,,,22.0,,,,,,,,
47013476,25,47,13476,7.4,,,7.0,7.75,,,,,,22.15,,,22.15,,,,,,,,,
47013478,25,47,13478,,4.5,,,,4.5,6.25,,,,15.25,,,,15.25,,,,,,,,
47013480,25,47,13480,7.6,6.75,,,,8.75,,,,,23.1,,,,,,,,,,,,
47013482,25,47,13482,3.8,,4.0,2.75,,,,,,,10.55,10.55,,,,,,,,,,,
47013483,25,47,13483,,3.5,,,,4.25,5.25,,,,13.0,,,,13.0,,,,,,,,
47013484,25,47,13484,,4.0,,,,6.0,7.5,,,,17.5,,,,17.5,,,,,,,,
47013485,25,47,13485,8.4,,8.0,8.25,,,,,,,24.65,24.65,,,,,,,,,,,
47013486,25,47,13486,,4.5,,,,,,,,,4.5,,,,,,,,,,,,
47013487,25,47,13487,,6.25,,,,8.75,8.75,,,,23.75,,,,23.75,,,,,,,,
47013488,25,47,13488,7.0,7.0,,,,6.5,8.25,9.0,3.8,N1,41.55,,,,21.75,17.8,,7.92,,,,,41.55
47013489,25,47,13489,4.4,,3.5,3.5,,,,,,,11.4,11.4,,,,,,,,,,,
47013490,25,47,13490,7.0,9.0,,,,,,,5.0,N1,21.0,,,,,21.0,,,,,,,
47013492,25,47,13492,7.4,7.75,,,,,,,6.0,N1,21.15,,,,,21.15,,,,,,,
47013494,25,47,13494,6.6,7.5,,,,,,,7.8,N1,21.9,,,,,21.9,,,,,,,
47013495,25,47,13495,4.0,6.0,,,,7.75,7.75,,,,25.5,,,,21.5,,,,,,,,
47013496,25,47,13496,7.2,8.5,,,,,,,6.6,N1,22.3,,,,,22.3,,,,,,,
47013497,25,47,13497,,5.5,,,,7.5,6.0,,,,19.0,,,,19.0,,,,,,,,
47013498,25,47,13498,,4.5,,,,6.25,8.0,,,,18.75,,,,18.75,,,,,,,,
47013499,25,47,13499,,4.25,,,,6.75,7.0,,,,18.0,,,,18.0,,,,,,,,
47013501,25,47,13501,,6.0,,,,,7.5,,3.8,N1,17.3,,,,,,,,,,,,
47013502,25,47,13502,,5.25,,,,6.0,7.25,,,,18.5,,,,18.5,,,,,,,,
47013503,25,47,13503,,6.5,,,,,,,,,6.5,,,,,,,,,,,,
47013504,25,47,13504,,7.25,,,,6.25,8.25,,,,21.75,,,,21.75,,,,,,,,
47013505,25,47,13505,5.0,6.25,4.5,4.75,,,,,,,20.5,14.25,,,,,,,,15.75,,,
47013506,25,47,13506,4.0,3.5,,,,3.5,3.5,,,,14.5,,,,10.5,,,,,,,,
47013507,25,47,13507,7.4,8.5,,,,,,,7.0,N1,22.9,,,,,22.9,,,,,,,
47013509,25,47,13509,4.8,,,,6.5,,,,5.2,N1,16.5,,,,,,,,,,,,
47013511,25,47,13511,,5.0,,,,4.75,6.25,,,,16.0,,,,16.0,,,,,,,,
47013512,25,47,13512,9.2,,9.75,,,,,,9.4,N1,28.35,,28.35,,,,,,,,,,
47013513,25,47,13513,3.4,5.5,,,,5.75,,,,,14.65,,,,,,,,,,,,
47013514,25,47,13514,,,5.75,,,,,,,,5.75,,,,,,,,,,,,
47013515,25,47,13515,8.2,,8.25,,,,,,6.4,N1,22.85,,22.85,,,,,,,,,,
47013516,25,47,13516,,8.0,,,,,,,7.0,N1,15.0,,,,,,,,,,,,
47013517,25,47,13517,5.0,4.5,,,,6.0,,,,,15.5,,,,,,,,,,,,
47013518,25,47,13518,,4.0,,,,6.75,7.5,,,,18.25,,,,18.25,,,,,,,,
47013519,25,47,13519,,6.0,,,,9.0,9.25,,,,24.25,,,,24.25,,,,,,,,
47013520,25,47,13520,6.4,,5.75,,,,,,4.8,N1,16.95,,16.95,,,,,,,,,,
47013521,25,47,13521,6.6,8.0,,,,,,,6.0,N1,20.6,,,,,20.6,,,,,,,
47013522,25,47,13522,,5.5,,,,8.0,7.75,,,,21.25,,,,21.25,,,,,,,,
47013523,25,47,13523,7.8,5.5,,,,,6.75,,2.4,N1,22.45,,,,,15.7,,,,,,,
47013525,25,47,13525,,5.25,,,,4.0,6.0,,,,15.25,,,,15.25,,,,,,,,
47013526,25,47,13526,,3.5,,,,5.25,4.5,,,,13.25,,,,13.25,,,,,,,,
47013528,25,47,13528,,5.75,,,,5.75,,8.25,,,19.75,,,,,,,,,,,,
47013529,25,47,13529,6.4,,,7.0,5.75,,,,,,19.15,,,19.15,,,,,,,,,
47013530,25,47,13530,8.6,,7.75,,,,,,7.6,N1,23.95,,23.95,,,,,,,,,,
47013531,25,47,13531,3.8,5.5,,,,9.0,9.75,7.25,,,35.3,,,,24.25,,,8.67,,,,,
47013532,25,47,13532,,6.25,,,,5.5,6.5,,,,18.25,,,,18.25,,,,,,,,
47013533,25,47,13533,,4.25,,,,4.0,5.25,,,,13.5,,,,13.5,,,,,,,,
47013534,25,47,13534,7.0,,,6.25,8.0,,,,,,21.25,,,21.25,,,,,,,,,
47013535,25,47,13535,8.4,,6.25,5.5,,,,,,,20.15,20.15,,,,,,,,,,,
47013536,25,47,13536,,6.25,,,,8.5,9.0,,,,23.75,,,,23.75,,,,,,,,
47013537,25,47,13537,6.8,4.75,,,,,,,6.2,N1,17.75,,,,,17.75,,,,,,,
47013538,25,47,13538,,5.0,,,,4.0,6.75,,,,15.75,,,,15.75,,,,,,,,
47013539,25,47,13539,8.6,,,9.25,8.25,,,,,,26.1,,,26.1,,,,,,,,,
47013540,25,47,13540,,4.5,,,,4.75,4.75,,,,14.0,,,,14.0,,,,,,,,
47013541,25,47,13541,6.4,7.0,4.0,3.75,,,,,,,21.15,14.15,,,,,,,,17.4,,,
47013542,25,47,13542,,5.5,,,,4.75,6.0,,,,16.25,,,,16.25,,,,,,,,
47013543,25,47,13543,,6.25,,,,7.5,8.0,,,,21.75,,,,21.75,,,,,,,,
47013544,25,47,13544,,6.0,,,,8.5,8.0,,,,22.5,,,,22.5,,,,,,,,
47013545,25,47,13545,,6.0,,,,5.25,7.5,6.0,,,24.75,,,,18.75,,,6.25,,,,,
47013546,25,47,13546,,8.0,,,,7.5,9.25,,7.8,N1,32.55,,,,24.75,,,,,,,,
47013547,25,47,13547,,2.5,,,,6.75,5.25,,,,14.5,,,,14.5,,,,,,,,
47013548,25,47,13548,,5.5,,,,5.0,5.25,,,,15.75,,,,15.75,,,,,,,,
47013549,25,47,13549,,5.0,,,,7.5,9.0,,,,21.5,,,,21.5,,,,,,,,
47013550,25,47,13550,,2.0,,,,6.75,7.25,,,,16.0,,,,16.0,,,,,,,,
47013551,25,47,13551,8.0,5.5,,,,7.25,5.0,,,,25.75,,,,17.75,,,,,,,,
47013552,25,47,13552,,3.25,,,,2.0,5.75,,,,11.0,,,,11.0,,,,,,,,
47013553,25,47,13553,7.8,,7.5,6.75,,,,,,,22.05,22.05,,,,,,,,,,,
47013554,25,47,13554,,2.25,,,,5.5,7.0,,,,14.75,,,,14.75,,,,,,,,
47013555,25,47,13555,5.6,7.0,,,,,,,3.8,N1,16.4,,,,,16.4,,,,,,,
47013556,25,47,13556,7.2,,,4.75,6.5,,,,,,18.45,,,18.45,,,,,,,,,
47013558,25,47,13558,,5.75,,,,5.5,,8.75,3.8,N1,23.8,,,,,,,,,,,,
47013561,25,47,13561,,1.5,,,,3.75,4.25,,,,9.5,,,,9.5,,,,,,,,
47013562,25,47,13562,,4.75,,,,7.5,10.0,,,,22.25,,,,22.25,,,,,,,,
47013564,25,47,13564,,5.5,,,,3.5,4.0,,,,13.0,,,,13.0,,,,,,,,
47013565,25,47,13565,7.8,5.0,,,,5.75,8.5,,,,27.05,,,,19.25,,,,,,,,
47013566,25,47,13566,7.2,,5.25,6.25,,,,,,,18.7,18.7,,,,,,,,,,,
47013567,25,47,13567,,3.5,,,,4.75,3.75,2.5,,,14.5,,,,12.0,,,3.67,,,,,
47013568,25,47,13568,7.0,6.0,,,,8.5,8.0,8.25,,,37.75,,,,22.5,,,8.25,,,,,
47013569,25,47,13569,1.4,3.75,1.75,2.75,3.75,,,,,,13.4,5.9,,7.9,,,2.75,,6.9,6.9,,,
47013570,25,47,13570,,5.5,,,,5.75,8.5,,,,19.75,,,,19.75,,,,,,,,
47013572,25,47,13572,4.2,4.25,,,,6.25,6.5,,,,21.2,,,,17.0,,,,,,,,
47013573,25,47,13573,,3.5,,,,5.25,3.5,,,,12.25,,,,12.25,,,,,,,,
47013574,25,47,13574,,7.25,,,,,,8.5,,,15.75,,,,,,,,,,,,
47013575,25,47,13575,8.8,,6.75,,,,,,6.8,N1,22.35,,22.35,,,,,,,,,,
47013576,25,47,13576,,6.25,,,,9.25,8.25,,,,23.75,,,,23.75,,,,,,,,
47013577,25,47,13577,,4.0,,,,5.0,6.5,,,,15.5,,,,15.5,,,,,,,,
47013578,25,47,13578,,8.25,,,,9.25,9.5,,,,27.0,,,,27.0,,,,,,,,
47013579,25,47,13579,,5.25,,,,5.75,6.25,,,,17.25,,,,17.25,,,,,,,,
47013580,25,47,13580,,5.0,,,,5.5,5.75,,,,16.25,,,,16.25,,,,,,,,
47013581,25,47,13581,2.8,2.5,,,,4.5,4.5,,,,14.3,,,,11.5,,,,,,,,
47013582,25,47,13582,3.6,4.0,,,,4.5,6.75,9.0,4.0,N1,31.85,,,,15.25,11.6,,6.75,,,,,31.85
47013583,25,47,13583,,5.75,,,,7.25,8.75,,,,21.75,,,,21.75,,,,,,,,
47013585,25,47,13585,,5.5,,,,5.75,8.25,,,,19.5,,,,19.5,,,,,,,,
47013586,25,47,13586,8.0,8.25,,,,7.75,6.75,,5.2,N1,35.95,,,,22.75,21.45,,,,,,,
47013587,25,47,13587,,7.0,,,,,,,,,7.0,,,,,,,,,,,,
47013588,25,47,13588,4.2,5.0,,,,,,,7.8,N1,17.0,,,,,17.0,,,,,,,
47013589,25,47,13589,5.8,6.5,,,,6.0,,,,,18.3,,,,,,,,,,,,
47013590,25,47,13590,3.0,4.25,,,,4.0,4.75,4.75,3.6,N5,24.35,,,,13.0,10.85,,4.5,,,,,24.35
47013591,25,47,13591,,4.0,,,,5.75,3.75,,,,13.5,,,,13.5,,,,,,,,
47013592,25,47,13592,9.2,,9.0,9.25,,,,,,,27.45,27.45,,,,,,,,,,,
47013593,25,47,13593,8.8,,8.75,8.5,,,,,,,26.05,26.05,,,,,,,,,,,
47013594,25,47,13594,2.6,,,,,,4.75,,2.8,N1,10.15,,,,,,,,,,,,
47013595,25,47,13595,,4.0,,,,4.5,7.5,,,,16.0,,,,16.0,,,,,,,,
47013596,25,47,13596,,7.5,,,,9.25,9.5,6.75,,,33.0,,,,26.25,,,8.5,,,,,
47013597,25,47,13597,,5.5,,,,9.5,8.75,,,,23.75,,,,23.75,,,,,,,,
47013598,25,47,13598,,6.75,,,,6.5,8.5,,,,21.75,,,,21.75,,,,,,,,
47013599,25,47,13599,3.0,4.75,,,,3.5,5.5,6.5,2.6,N1,25.85,,,,13.75,10.35,,5.17,,,,,25.85
47013600,25,47,13600,8.2,,,7.5,7.25,,,,,,22.95,,,22.95,,,,,,,,,
48000066,25,48,66,6.0,3.5,,,,7.0,6.5,,,,23.0,,,,17.0,,,,,,,,
48000099,25,48,99,7.8,,7.75,8.5,,,,,,,24.05,24.05,,,,,,,,,,,
48000183,25,48,183,6.6,5.5,,,,6.75,7.25,9.25,4.4,N1,39.75,,,,19.5,16.5,,7.75,,,,,39.75
48000294,25,48,294,7.2,5.5,,,,5.5,,,,,18.2,,,,,,,,,,,,
48000321,25,48,321,7.8,7.25,,,,,,,6.6,N1,21.65,,,,,21.65,,,,,,,
48000597,25,48,597,4.8,2.5,,,,3.0,7.0,,,,17.3,,,,12.5,,,,,,,,
48000662,25,48,662,4.2,6.75,,,,9.25,8.75,,,,28.95,,,,24.75,,,,,,,,
48000710,25,48,710,,6.0,,,,,,8.75,,,14.75,,,,,,,,,,,,
48000717,25,48,717,,6.75,,,,7.75,8.75,,,,23.25,,,,23.25,,,,,,,,
48000884,25,48,884,3.8,6.75,,,,8.75,,,7.6,N1,26.9,,,,,18.15,,,,,,,
48000942,25,48,942,,5.0,,,,7.25,7.5,,,,19.75,,,,19.75,,,,,,,,
48001016,25,48,1016,3.6,3.25,,,,4.0,,,,,10.85,,,,,,,,,,,,
48001069,25,48,1069,8.0,6.75,,,,,,,6.6,N1,21.35,,,,,21.35,,,,,,,
48001099,25,48,1099,9.0,,8.75,8.75,,,,,,,26.5,26.5,,,,,,,,,,,
48001123,25,48,1123,7.2,,,7.0,7.0,,,,,,21.2,,,21.2,,,,,,,,,
48001168,25,48,1168,6.8,,7.25,7.75,,,,,,,21.8,21.8,,,,,,,,,,,
48001352,25,48,1352,3.0,,2.25,3.5,,,,,,,8.75,8.75,,,,,,,,,,,
48001419,25,48,1419,7.0,9.0,,,,,,,7.2,N1,23.2,,,,,23.2,,,,,,,
48001564,25,48,1564,6.8,,7.5,5.75,,,,,,,20.05,20.05,,,,,,,,,,,
48001681,25,48,1681,2.6,,,,,,6.25,,,,8.85,,,,,,,,,,,,
48001720,25,48,1720,8.2,,7.75,,,,,,6.8,N1,22.75,,22.75,,,,,,,,,,
48001796,25,48,1796,7.8,,5.25,5.25,,,,,3.8,N1,22.1,18.3,16.85,,,,,,,,16.85,,
48001896,25,48,1896,1.8,3.25,,,,3.75,2.75,,,,11.55,,,,9.75,,,,,,,,
48001944,25,48,1944,8.0,,6.75,,,,,,5.4,N1,20.15,,20.15,,,,,,,,,,
48001975,25,48,1975,4.6,4.0,,,,3.25,,,,,11.85,,,,,,,,,,,,
48001991,25,48,1991,7.6,,,7.75,8.25,,,,,,23.6,,,23.6,,,,,,,,,
48002079,25,48,2079,7.4,,7.25,6.25,,,,,,,20.9,20.9,,,,,,,,,,,
48002086,25,48,2086,8.6,7.5,7.25,8.5,,,,,6.0,N1,37.85,24.35,21.85,,,22.1,,,,23.35,23.1,,
48002144,25,48,2144,7.2,,,6.0,,,,,5.2,N1,18.4,,,,,,,,,,18.4,,
48002150,25,48,2150,,5.5,,,,,,,,,5.5,,,,,,,,,,,,
48002198,25,48,2198,,7.0,,,,8.5,9.5,,,,25.0,,,,25.0,,,,,,,,
48002220,25,48,2220,7.6,,3.75,5.5,6.75,,,,,,23.6,16.85,,19.85,,,5.33,,18.1,,,,
48002431,25,48,2431,6.0,6.0,,,,,,,6.2,N1,18.2,,,,,18.2,,,,,,,
48002637,25,48,2637,4.6,3.5,,,,7.25,6.25,7.0,1.8,N1,30.4,,,,17.0,9.9,,6.83,,,,,30.4
48002759,25,48,2759,8.4,7.5,,,,8.25,9.5,,,,33.65,,,,25.25,,,,,,,,
48002943,25,48,2943,4.8,4.75,,,,5.0,7.5,,,,22.05,,,,17.25,,,,,,,,
48002980,25,48,2980,7.4,6.75,6.0,5.5,5.5,,,,5.0,N5,36.15,18.9,18.4,18.4,,19.15,5.67,,18.9,20.15,17.9,36.15,
48003009,25,48,3009,7.6,5.75,,,,,,,,,13.35,,,,,,,,,,,,
48003045,25,48,3045,,5.25,,,,6.5,7.0,,,,18.75,,,,18.75,,,,,,,,
48003268,25,48,3268,,6.0,,,,,,,3.4,N1,9.4,,,,,,,,,,,,
48003297,25,48,3297,8.0,8.5,,,,,,,7.6,N1,24.1,,,,,24.1,,,,,,,
48003426,25,48,3426,8.4,,5.75,6.75,,,,,,,20.9,20.9,,,,,,,,,,,
48003439,25,48,3439,7.6,7.5,,,,,,,6.2,N1,21.3,,,,,21.3,,,,,,,
48003505,25,48,3505,5.2,,,,,,,,3.8,N1,9.0,,,,,,,,,,,,
48003563,25,48,3563,8.0,6.75,,,,,,,7.0,N1,21.75,,,,,21.75,,,,,,,
48003596,25,48,3596,8.0,7.75,,,,6.5,7.25,,8.4,N1,37.9,,,,21.5,24.15,,,,,,,
48003631,25,48,3631,5.2,7.25,,,,4.75,8.75,,4.6,N1,30.55,,,,20.75,17.05,,,,,,,
48003649,25,48,3649,5.4,5.25,,,,,,,7.8,N1,18.45,,,,,18.45,,,,,,,
48003897,25,48,3897,7.4,,5.5,5.5,,,,,,,18.4,18.4,,,,,,,,,,,
48003906,25,48,3906,7.6,6.0,7.5,3.5,4.75,,,,5.8,N1,35.15,18.6,20.9,15.85,,19.4,5.25,,19.85,21.1,16.9,35.15,
48004031,25,48,4031,7.6,7.0,5.75,4.0,6.75,,,,7.0,N1,38.1,17.35,20.35,18.35,,21.6,5.5,,20.1,20.35,18.6,38.1,
48004125,25,48,4125,4.4,7.0,,,,7.25,8.0,9.25,,,35.9,,,,22.25,,,8.17,,,,,
48004184,25,48,4184,6.8,3.25,5.0,5.0,3.5,,,,,,23.55,16.8,,15.3,,,4.5,,15.3,15.05,,,
48004261,25,48,4261,,4.5,,,,5.0,7.75,,,,17.25,,,,17.25,,,,,,,,
48004316,25,48,4316,7.6,,5.0,8.0,9.0,,,,,,29.6,20.6,,24.6,,,7.33,,21.6,,,,
48004440,25,48,4440,8.2,7.5,,,,,,,7.4,N1,23.1,,,,,23.1,,,,,,,
48004464,25,48,4464,7.0,7.5,,,,,,,4.2,N1,18.7,,,,,18.7,,,,,,,
48004489,25,48,4489,2.6,2.75,,,,3.0,5.5,,,,13.85,,,,11.25,,,,,,,,
48004506,25,48,4506,,7.75,,,,7.75,9.25,,,,24.75,,,,24.75,,,,,,,,
48004621,25,48,4621,8.2,,5.25,7.25,,,,,,,20.7,20.7,,,,,,,,,,,
48004663,25,48,4663,,3.5,,,,4.0,6.75,,,,14.25,,,,14.25,,,,,,,,
48004716,25,48,4716,2.2,3.5,,,,5.0,6.25,,,,16.95,,,,14.75,,,,,,,,
48004725,25,48,4725,4.6,3.5,,,,6.0,8.0,,,,22.1,,,,17.5,,,,,,,,
48004744,25,48,4744,8.6,,7.5,8.75,4.25,,,,,,29.1,24.85,,21.6,,,6.83,,20.35,,,,
48004752,25,48,4752,4.8,3.5,,,,,,,,,8.3,,,,,,,,,,,,
48004826,25,48,4826,,6.5,,,,5.25,7.5,,,,19.25,,,,19.25,,,,,,,,
48004833,25,48,4833,,8.0,,,,7.75,7.5,,,,23.25,,,,23.25,,,,,,,,
48004939,25,48,4939,9.0,,9.0,,,,,,7.6,N1,25.6,,25.6,,,,,,,,,,
48004957,25,48,4957,8.8,,8.0,,,,,,6.6,N1,23.4,,23.4,,,,,,,,,,
48004964,25,48,4964,1.6,4.75,,,,2.5,5.25,,,,14.1,,,,12.5,,,,,,,,
48004965,25,48,4965,7.2,,7.25,7.0,,,,,,,21.45,21.45,,,,,,,,,,,
48004966,25,48,4966,6.0,5.0,,,,6.75,,,,,17.75,,,,,,,,,,,,
48005029,25,48,5029,,,,,,4.0,6.0,,,,10.0,,,,,,,,,,,,
48005143,25,48,5143,4.8,,,,,,,,,,4.8,,,,,,,,,,,,
48005151,25,48,5151,,7.0,,,,8.25,8.25,,,,23.5,,,,23.5,,,,,,,,
